"gauge_id","5410002","catchment identifier (corresponds to the stream gauge code provided by DGA)"
"gauge_name","Rio Aconcagua En Chacabuquito","gauge name (based on DGA records)"
"gauge_lat","-32.8503","gauge latitude based on DGA records (degrees)"
"gauge_lon","-70.5094","gauge longitude based on DGA records (degrees)"
"record_period_start","1936-09-02","start date of streamflow records"
"record_period_end","2020-04-07","end date of streamflow records"
"n_obs","27293","number of days with valid streamflow records"
"outlet_camels_lat","-32.84958","CAMELS-CL outlet latitude (degrees). DGA stream gauge coordinates were corrected to get catchment outlets on the streams defined by topography."
"outlet_camels_lon","-70.51153","CAMELS-CL outlet longitude (degrees). DGA stream gauge coordinates were corrected to get catchment outlets on the streams defined by topography."
"outlet_camels_elev","935","CAMELS-CL outlet elevation (m a.s.l.) obtained from the 30 m ASTER GDEM elevation data"
"area_km2","2113.423","catchment area (km2)"
"mean_elev","3177.584","catchment mean elevation (m a.s.l.)"
"med_elev","3322","catchment median elevation (m a.s.l.)"
"max_elev","5924","catchment maximum elevation (m a.s.l.)"
"min_elev","936","catchment minimum elevation (m a.s.l.)"
"mean_slope_perc","27.98591","catchment mean slope (%)"
"geol_class_1st","Acid volcanic rocks","most common geologic class in the catchment"
"geol_class_1st_frac","0.445","fraction of the catchment area associated with its most common geologic class"
"geol_class_2nd","Pyroclastics","second most common geologic class in the catchment"
"geol_class_2nd_frac","0.328","fraction of the catchment area associated with its second most common geologic class"
"lc_crop","0.1559025","percentage of the catchment covered by croplands; level 1. Includes five types of level 2 classes: rice fields; greenhouse farming; other croplands; orchards; and bare croplands"
"lc_nf","0.2902146","percentage of the catchment covered by forest (level 1) classified as natural broadleaf (level 2) or natural conifer (level 2)."
"lc_fp","0.002214404","percentage of the catchment covered by forest (level 1) classified as broadleaf plantations (level 2) or conifer plantations (level 2)."
"lc_grass","6.603735","percentage of the catchment covered by grasslands; level 1. Includes three types of level 2 classes: pastures; other grasslands; and withered grasslands."
"lc_shrub","22.16844","percentage of the catchment covered by shrublands; level 1. Includes five types of level 2 classes: shrublands; shrubs and sparse trees mosaic; succulents; shrub plantations; and withered shrublands."
"lc_wet","2.615083","percentage of the catchment covered by wetlands and water bodies (level 1). Includes six types of level 2 classes: marshlands; mudflats; other wetlands; lakes; reservoirs/ponds; rivers and ocean."
"lc_imp","0.1570523","percentage of the catchment covered by impervious surfaces (level 1). Urbanised areas are usually contained in this class."
"lc_barren","66.15412","percentage of the catchment covered by barren lands (level 1). Includes three types of level 2 classes: dry salt flats;  sandy areas and bare exposed rocks"
"lc_snow","0.942101","percentage of the catchment covered by snow and ice; level 1. Includes two types of level 2 classes: snow and ice."
"lc_glacier","2.258937","percentage of the catchment covered by glaciers."
"lc_fp_index","0","forest plantation index: calculated as the ratio between fp_frac and the total forested area (fp_frac+nf_frac)."
"lc_forest","0.292429","fraction of the catchment covered by forests; including native forest and forest plantation (fp_frac+nf_frac)."
"lc_dom_name","lc_barren","dominant land cover class"
"lc_frac_dom","66.15412","fraction of the basin associated with dominant land cover class"
"lc_nodata","0.9111419","percentage of the basin not covered by the land cover map"
"pet_mean_1990_2010","1.845229","mean daily PET (calculated with Hargreaves formula)"
"pet_mean_1979_2010","1.83411","mean daily PET (calculated with Hargreaves formula)"
"p_mean_cr2met_1990_2010","1.181716","mean daily precipitation calculated from CR2MET period 1990-2010"
"p_mean_cr2met_1979_2010","1.263826","mean daily precipitation calculated from CR2MET period 1979-2010"
"p_mean_chirps_1990_2010","1.520142","mean daily precipitation calculated from CHIRPS period 1990-2010"
"p_mean_chirps_1979_2010","1.503063","mean daily precipitation calculated from CHIRPS period 1979-2010"
"p_mean_mswep_1990_2010","0.9732294","mean daily precipitation calculated from MSWEP period 1990-2010"
"p_mean_mswep_1979_2010","1.02091","mean daily precipitation calculated from MSWEP period 1979-2010"
"p_mean_tmpa_1990_2010",NA,"mean daily precipitation calculated from TMPA period 1990-2010"
"p_mean_tmpa_1979_2010",NA,"mean daily precipitation calculated from TMPA period 1979-2010"
"aridity_cr2met_1990_2010","1.561482","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_cr2met) period 1990-2010"
"aridity_cr2met_1979_2010","1.451236","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_cr2met) period 1979-2010"
"aridity_chirps_1990_2010","1.213853","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_chirps) period 1990-2010"
