"date","year","month","day","5410002"
1979-01-01,1979,1,1,1.417021558637
1979-02-01,1979,2,1,3.9575096765155
1979-03-01,1979,3,1,0.010256595
1979-04-01,1979,4,1,8.2567744072
1979-05-01,1979,5,1,20.0485475
1979-06-01,1979,6,1,0
1979-07-01,1979,7,1,89.283256313
1979-08-01,1979,8,1,79.53805692
1979-09-01,1979,9,1,7.6001302102
1979-10-01,1979,10,1,4.43645769
1979-11-01,1979,11,1,23.41700021
1979-12-01,1979,12,1,24.5357634398
1980-01-01,1980,1,1,21.33443265867
1980-02-01,1980,2,1,18.35143040133
1980-03-01,1980,3,1,0.1967649398
1980-04-01,1980,4,1,197.43890625832
1980-05-01,1980,5,1,143.3101128777
1980-06-01,1980,6,1,39.96311963
1980-07-01,1980,7,1,92.73406608514
1980-08-01,1980,8,1,3.29328112575
1980-09-01,1980,9,1,39.464732033239
1980-10-01,1980,10,1,7.23702341
1980-11-01,1980,11,1,7.426269989
1980-12-01,1980,12,1,8.2589711811
1981-01-01,1981,1,1,2.8568418228918
1981-02-01,1981,2,1,15.1247856033576
1981-03-01,1981,3,1,1.5392532873
1981-04-01,1981,4,1,0.811630503
1981-05-01,1981,5,1,128.6977409876
1981-06-01,1981,6,1,10.04487096022
1981-07-01,1981,7,1,15.0268317621
1981-08-01,1981,8,1,30.240478781
1981-09-01,1981,9,1,5.71211208004
1981-10-01,1981,10,1,0.2730139358
1981-11-01,1981,11,1,1.661304865
1981-12-01,1981,12,1,2.92386538533
1982-01-01,1982,1,1,3.1103479222
1982-02-01,1982,2,1,1.4796007377866
1982-03-01,1982,3,1,13.51016331567
1982-04-01,1982,4,1,0.021762973
1982-05-01,1982,5,1,136.7622899826
1982-06-01,1982,6,1,483.57154505
1982-07-01,1982,7,1,176.188659828
1982-08-01,1982,8,1,141.22548125
1982-09-01,1982,9,1,119.8371692892
1982-10-01,1982,10,1,17.76937923179
1982-11-01,1982,11,1,1.2126617661
1982-12-01,1982,12,1,0.433559987483
1983-01-01,1983,1,1,26.62964746912
1983-02-01,1983,2,1,5.478067021211
1983-03-01,1983,3,1,1.11941981342
1983-04-01,1983,4,1,18.921699292
1983-05-01,1983,5,1,37.2125549764
1983-06-01,1983,6,1,65.551623417
1983-07-01,1983,7,1,183.4547014744
1983-08-01,1983,8,1,68.7985582955
1983-09-01,1983,9,1,9.8655271024
1983-10-01,1983,10,1,1.991126
1983-11-01,1983,11,1,0.163911297
1983-12-01,1983,12,1,0
1984-01-01,1984,1,1,11.76817175923
1984-02-01,1984,2,1,0.20869450586983
1984-03-01,1984,3,1,20.97063067033
1984-04-01,1984,4,1,4.0309288516
1984-05-01,1984,5,1,56.695501283
1984-06-01,1984,6,1,72.6440369526
1984-07-01,1984,7,1,453.8647529
1984-08-01,1984,8,1,23.97329961
1984-09-01,1984,9,1,69.9170622718
1984-10-01,1984,10,1,13.562348411173
1984-11-01,1984,11,1,13.9255799234
1984-12-01,1984,12,1,0.0047311016
1985-01-01,1985,1,1,19.277609028843
1985-02-01,1985,2,1,0.97154145504
1985-03-01,1985,3,1,14.3989865518
1985-04-01,1985,4,1,5.402053328
1985-05-01,1985,5,1,23.558987958
1985-06-01,1985,6,1,12.100325697
1985-07-01,1985,7,1,58.2559318781
1985-08-01,1985,8,1,0.51542638
1985-09-01,1985,9,1,31.981564164863
1985-10-01,1985,10,1,44.907383723383
1985-11-01,1985,11,1,1.68625473
1985-12-01,1985,12,1,0.44303481237
1986-01-01,1986,1,1,0.31808047029
1986-02-01,1986,2,1,14.851686562
1986-03-01,1986,3,1,0.0012528402
1986-04-01,1986,4,1,23.62245733848
1986-05-01,1986,5,1,203.428469791
1986-06-01,1986,6,1,286.10437859355
1986-07-01,1986,7,1,3.8553839636
1986-08-01,1986,8,1,73.2316919903
1986-09-01,1986,9,1,7.9813193123
1986-10-01,1986,10,1,13.279130082505
1986-11-01,1986,11,1,7.0650298495
1986-12-01,1986,12,1,0.8341038684219
1987-01-01,1987,1,1,2.80907153679
1987-02-01,1987,2,1,14.5620870566
1987-03-01,1987,3,1,15.6363322585
1987-04-01,1987,4,1,10.618470423503
1987-05-01,1987,5,1,38.63769698133
1987-06-01,1987,6,1,63.65602508868
1987-07-01,1987,7,1,444.596100222
1987-08-01,1987,8,1,265.4024935996
1987-09-01,1987,9,1,12.743194988
1987-10-01,1987,10,1,23.8701959093
1987-11-01,1987,11,1,0.054685745
1987-12-01,1987,12,1,3.39254621285
1988-01-01,1988,1,1,0.1876347746652
1988-02-01,1988,2,1,4.89768580694
1988-03-01,1988,3,1,1.591349548
1988-04-01,1988,4,1,4.0012751874
1988-05-01,1988,5,1,11.1654928673
1988-06-01,1988,6,1,4.2674573875
1988-07-01,1988,7,1,56.4751596487692
1988-08-01,1988,8,1,66.146848751434
1988-09-01,1988,9,1,9.29320502541
1988-10-01,1988,10,1,0.14977019
1988-11-01,1988,11,1,13.08460514
1988-12-01,1988,12,1,13.8659630374
1989-01-01,1989,1,1,11.23985954741
1989-02-01,1989,2,1,0.54754879219
1989-03-01,1989,3,1,0.30994716
1989-04-01,1989,4,1,9.5856023
1989-05-01,1989,5,1,37.27431893
1989-06-01,1989,6,1,14.9695134
1989-07-01,1989,7,1,102.45477503
1989-08-01,1989,8,1,179.5705873905
1989-09-01,1989,9,1,54.695594722
1989-10-01,1989,10,1,8.2146955e-05
1989-11-01,1989,11,1,0.442308413
1989-12-01,1989,12,1,1.26748291516
1990-01-01,1990,1,1,2.4414600726
1990-02-01,1990,2,1,4.371988701746
1990-03-01,1990,3,1,22.60872778
1990-04-01,1990,4,1,1.3364692232
1990-05-01,1990,5,1,13.17697726
1990-06-01,1990,6,1,47.8991925827
1990-07-01,1990,7,1,24.269463714
1990-08-01,1990,8,1,53.708143
1990-09-01,1990,9,1,61.03703228
1990-10-01,1990,10,1,6.9303208200178
1990-11-01,1990,11,1,0.0026703147355
1990-12-01,1990,12,1,5.99698254258
1991-01-01,1991,1,1,2.6610923368
1991-02-01,1991,2,1,0.71180150919
1991-03-01,1991,3,1,0.1809205798
1991-04-01,1991,4,1,70.2677800012
1991-05-01,1991,5,1,163.29227079
1991-06-01,1991,6,1,112.9883690513
1991-07-01,1991,7,1,167.2093616756
1991-08-01,1991,8,1,3.07111104
1991-09-01,1991,9,1,80.295015516422
1991-10-01,1991,10,1,11.21154867
1991-11-01,1991,11,1,1.48444322
1991-12-01,1991,12,1,18.030253872
1992-01-01,1992,1,1,1.570942286819
1992-02-01,1992,2,1,3.908178216
1992-03-01,1992,3,1,8.2423001395
1992-04-01,1992,4,1,68.94405543394
1992-05-01,1992,5,1,118.30930431965
1992-06-01,1992,6,1,182.194099774
1992-07-01,1992,7,1,22.866581422
1992-08-01,1992,8,1,43.7128941621
1992-09-01,1992,9,1,25.362872191142
1992-10-01,1992,10,1,0.0091422302
1992-11-01,1992,11,1,17.1060351161
1992-12-01,1992,12,1,0.0995752134196
1993-01-01,1993,1,1,9.65017198795
1993-02-01,1993,2,1,9.9358225754
1993-03-01,1993,3,1,0
1993-04-01,1993,4,1,60.2761783632
1993-05-01,1993,5,1,187.549074345156
1993-06-01,1993,6,1,61.598884348
1993-07-01,1993,7,1,48.40498627319
1993-08-01,1993,8,1,13.3598109
1993-09-01,1993,9,1,11.5115740976
1993-10-01,1993,10,1,7.44437552713
1993-11-01,1993,11,1,3.788978699382
1993-12-01,1993,12,1,0.719722862
1994-01-01,1994,1,1,0.44573320269
1994-02-01,1994,2,1,6.685513932914
1994-03-01,1994,3,1,0.29374524
1994-04-01,1994,4,1,41.6489416737
1994-05-01,1994,5,1,38.89318253977
1994-06-01,1994,6,1,31.499594371166
1994-07-01,1994,7,1,130.40692780491
1994-08-01,1994,8,1,5.71130371
1994-09-01,1994,9,1,14.516000635
1994-10-01,1994,10,1,7.285791771
1994-11-01,1994,11,1,1.3892333
1994-12-01,1994,12,1,0.43571782
1995-01-01,1995,1,1,31.3592122494
1995-02-01,1995,2,1,3.811768240201
1995-03-01,1995,3,1,1.012710017
1995-04-01,1995,4,1,41.62193234997
1995-05-01,1995,5,1,6.16574905
1995-06-01,1995,6,1,78.5588504909
1995-07-01,1995,7,1,52.470758528
1995-08-01,1995,8,1,38.63248768
1995-09-01,1995,9,1,20.81567099775
1995-10-01,1995,10,1,2.3083359156816
1995-11-01,1995,11,1,2.2824769413
1995-12-01,1995,12,1,7.02640656793
1996-01-01,1996,1,1,6.517776143
1996-02-01,1996,2,1,0.542593429
1996-03-01,1996,3,1,0.029180239
1996-04-01,1996,4,1,24.235989211
1996-05-01,1996,5,1,1.62569504
1996-06-01,1996,6,1,21.65640966552
1996-07-01,1996,7,1,5.9087913689
1996-08-01,1996,8,1,48.931245224
1996-09-01,1996,9,1,3.41095379282
1996-10-01,1996,10,1,2.12204555
1996-11-01,1996,11,1,0.339489862091
1996-12-01,1996,12,1,8.60746697
1997-01-01,1997,1,1,3.746650161
1997-02-01,1997,2,1,0.75156522229
1997-03-01,1997,3,1,3.143048019
1997-04-01,1997,4,1,0.70301514
1997-05-01,1997,5,1,75.38175147
1997-06-01,1997,6,1,436.933329131
1997-07-01,1997,7,1,28.300807698
1997-08-01,1997,8,1,165.8133364
1997-09-01,1997,9,1,92.599579137
1997-10-01,1997,10,1,42.6859549803
1997-11-01,1997,11,1,4.6824301671
1997-12-01,1997,12,1,6.936205474061
1998-01-01,1998,1,1,0.00144790979
1998-02-01,1998,2,1,21.8289954872
1998-03-01,1998,3,1,10.63340242
1998-04-01,1998,4,1,66.7007564536
1998-05-01,1998,5,1,14.008329767
1998-06-01,1998,6,1,19.199876501
1998-07-01,1998,7,1,0.03829872
1998-08-01,1998,8,1,0.12388182
1998-09-01,1998,9,1,34.904393179
1998-10-01,1998,10,1,0
1998-11-01,1998,11,1,0.00077886296
1998-12-01,1998,12,1,2.80032827441
1999-01-01,1999,1,1,15.5155788294
1999-02-01,1999,2,1,0.00938507411
1999-03-01,1999,3,1,18.44648789
1999-04-01,1999,4,1,5.81275212
1999-05-01,1999,5,1,26.864036
1999-06-01,1999,6,1,36.2852176342595
1999-07-01,1999,7,1,5.18319288457
1999-08-01,1999,8,1,90.16902274
1999-09-01,1999,9,1,105.985207095
1999-10-01,1999,10,1,15.23671498
1999-11-01,1999,11,1,0.12167172018
1999-12-01,1999,12,1,1.13222095109
2000-01-01,2000,1,1,0.56530691823
2000-02-01,2000,2,1,8.046225825439
2000-03-01,2000,3,1,0.0010460422
2000-04-01,2000,4,1,11.54224384
2000-05-01,2000,5,1,22.38669122705
2000-06-01,2000,6,1,312.081839564
2000-07-01,2000,7,1,32.82189129
2000-08-01,2000,8,1,4.9229650427
2000-09-01,2000,9,1,68.3724404253
2000-10-01,2000,10,1,2.91490021461
2000-11-01,2000,11,1,24.404273714
2000-12-01,2000,12,1,0.214201052902
2001-01-01,2001,1,1,0.67354157308
2001-02-01,2001,2,1,0.0557695093
2001-03-01,2001,3,1,13.74959446
2001-04-01,2001,4,1,19.203069775532
2001-05-01,2001,5,1,54.5102506352
2001-06-01,2001,6,1,0.579789131011
2001-07-01,2001,7,1,271.040381779
2001-08-01,2001,8,1,110.13885244372
2001-09-01,2001,9,1,1.23444868004
2001-10-01,2001,10,1,5.562816597
2001-11-01,2001,11,1,0.1630780602
2001-12-01,2001,12,1,2.26940443385
2002-01-01,2002,1,1,13.396017789003
2002-02-01,2002,2,1,1.3966252140176
