"date","year","month","day","5410002"
1979-01-01,1979,1,1,0.111
1979-02-01,1979,2,1,0.048
1979-03-01,1979,3,1,0.003
1979-04-01,1979,4,1,13.29
1979-05-01,1979,5,1,14.288
1979-06-01,1979,6,1,0.238
1979-07-01,1979,7,1,67.757
1979-08-01,1979,8,1,60.201
1979-09-01,1979,9,1,35.628
1979-10-01,1979,10,1,0.006
1979-11-01,1979,11,1,20.825
1979-12-01,1979,12,1,17.519
1980-01-01,1980,1,1,2.239
1980-02-01,1980,2,1,17.614
1980-03-01,1980,3,1,1.28
1980-04-01,1980,4,1,99.083
1980-05-01,1980,5,1,40.454
1980-06-01,1980,6,1,79.002
1980-07-01,1980,7,1,95.81
1980-08-01,1980,8,1,15.922
1980-09-01,1980,9,1,57.017
1980-10-01,1980,10,1,12.323
1980-11-01,1980,11,1,5.402
1980-12-01,1980,12,1,3.391
1981-01-01,1981,1,1,0
1981-02-01,1981,2,1,7.377
1981-03-01,1981,3,1,0.517
1981-04-01,1981,4,1,3.774
1981-05-01,1981,5,1,125.657
1981-06-01,1981,6,1,32.422
1981-07-01,1981,7,1,23.92
1981-08-01,1981,8,1,27.475
1981-09-01,1981,9,1,9.096
1981-10-01,1981,10,1,1.837
1981-11-01,1981,11,1,0.656
1981-12-01,1981,12,1,0.107
1982-01-01,1982,1,1,0.147
1982-02-01,1982,2,1,0.007
1982-03-01,1982,3,1,14.59
1982-04-01,1982,4,1,0
1982-05-01,1982,5,1,108.62
1982-06-01,1982,6,1,312.144
1982-07-01,1982,7,1,170.713
1982-08-01,1982,8,1,71.723
1982-09-01,1982,9,1,37.259
1982-10-01,1982,10,1,13.976
1982-11-01,1982,11,1,4.621
1982-12-01,1982,12,1,0.53
1983-01-01,1983,1,1,14.573
1983-02-01,1983,2,1,0.58
1983-03-01,1983,3,1,0.016
1983-04-01,1983,4,1,24.883
1983-05-01,1983,5,1,42.742
1983-06-01,1983,6,1,105.869
1983-07-01,1983,7,1,143.262
1983-08-01,1983,8,1,56.277
