"date","year","month","day","5410002"
1979-01-01,"1979","01","01",124.723
1979-02-01,"1979","02","01",56.346
1979-03-01,"1979","03","01",32.381
1979-04-01,"1979","04","01",18.67
1979-05-01,"1979","05","01",15.061
1979-06-01,"1979","06","01",11.35
1979-07-01,"1979","07","01",10.535
1979-08-01,"1979","08","01",14.077
1979-09-01,"1979","09","01",18.577
1979-10-01,"1979","10","01",28.784
1979-11-01,"1979","11","01",38.803
1979-12-01,"1979","12","01",59.852
1980-01-01,"1980","01","01",62.553
1980-02-01,"1980","02","01",40.417
1980-03-01,"1980","03","01",31.726
1980-04-01,"1980","04","01",37.237
1980-05-01,"1980","05","01",31.165
1980-06-01,"1980","06","01",23.383
1980-07-01,"1980","07","01",22.416
1980-08-01,"1980","08","01",23.9
1980-09-01,"1980","09","01",25.813
1980-10-01,"1980","10","01",38.832
1980-11-01,"1980","11","01",64.553
1980-12-01,"1980","12","01",110.923
1981-01-01,"1981","01","01",70.49
1981-02-01,"1981","02","01",54.871
1981-03-01,"1981","03","01",33.997
1981-04-01,"1981","04","01",19.083
1981-05-01,"1981","05","01",18.9
1981-06-01,"1981","06","01",15.467
1981-07-01,"1981","07","01",10.843
1981-08-01,"1981","08","01",12.378
1981-09-01,"1981","09","01",12.637
1981-10-01,"1981","10","01",20.119
1981-11-01,"1981","11","01",37.167
1981-12-01,"1981","12","01",32.939
1982-01-01,"1982","01","01",34.068
1982-02-01,"1982","02","01",25.989
1982-03-01,"1982","03","01",16.287
1982-04-01,"1982","04","01",13.78
1982-05-01,"1982","05","01",14.11
1982-06-01,"1982","06","01",26.939
1982-07-01,"1982","07","01",39.552
1982-08-01,"1982","08","01",33.271
1982-09-01,"1982","09","01",44.91
1982-10-01,"1982","10","01",50.855
1982-11-01,"1982","11","01",88.783
1982-12-01,"1982","12","01",180.248
1983-01-01,"1983","01","01",167.226
1983-02-01,"1983","02","01",112.8
1983-03-01,"1983","03","01",55.632
1983-04-01,"1983","04","01",29.397
1983-05-01,"1983","05","01",18.994
1983-06-01,"1983","06","01",15.413
1983-07-01,"1983","07","01",17.742
1983-08-01,"1983","08","01",19.771
1983-09-01,"1983","09","01",20.163
1983-10-01,"1983","10","01",52.365
1983-11-01,"1983","11","01",94.197
1983-12-01,"1983","12","01",116.439
1984-01-01,"1984","01","01",74.48
1984-02-01,"1984","02","01",49.693
1984-03-01,"1984","03","01",26.532
1984-04-01,"1984","04","01",17.277
1984-05-01,"1984","05","01",12.697
1984-06-01,"1984","06","01",10.035
1984-07-01,"1984","07","01",17.307
1984-08-01,"1984","08","01",18.597
1984-09-01,"1984","09","01",24.907
1984-10-01,"1984","10","01",66.677
1984-11-01,"1984","11","01",90.743
1984-12-01,"1984","12","01",118.377
1985-01-01,"1985","01","01",100.919
1985-02-01,"1985","02","01",63.211
1985-03-01,"1985","03","01",45.832
1985-04-01,"1985","04","01",24.04
1985-05-01,"1985","05","01",18.929
1985-06-01,"1985","06","01",15.31
1985-07-01,"1985","07","01",16.187
1985-08-01,"1985","08","01",14.506
1985-09-01,"1985","09","01",14.517
1985-10-01,"1985","10","01",20.974
1985-11-01,"1985","11","01",58.083
1985-12-01,"1985","12","01",57.435
1986-01-01,"1986","01","01",45.11
1986-02-01,"1986","02","01",34.586
1986-03-01,"1986","03","01",23.268
1986-04-01,"1986","04","01",16.267
1986-05-01,"1986","05","01",14.448
1986-06-01,"1986","06","01",47.607
1986-07-01,"1986","07","01",24.913
1986-08-01,"1986","08","01",22.229
1986-09-01,"1986","09","01",25.63
1986-10-01,"1986","10","01",41.958
1986-11-01,"1986","11","01",78.32
1986-12-01,"1986","12","01",148.313
1987-01-01,"1987","01","01",100.613
1987-02-01,"1987","02","01",61.475
1987-03-01,"1987","03","01",37.665
1987-04-01,"1987","04","01",19.233
1987-05-01,"1987","05","01",14.494
1987-06-01,"1987","06","01",17.787
1987-07-01,"1987","07","01",39.761
1987-08-01,"1987","08","01",49.952
1987-09-01,"1987","09","01",35.553
1987-10-01,"1987","10","01",55.052
1987-11-01,"1987","11","01",146.783
1987-12-01,"1987","12","01",176.065
1988-01-01,"1988","01","01",148.2
1988-02-01,"1988","02","01",78.466
1988-03-01,"1988","03","01",43.245
1988-04-01,"1988","04","01",24.163
1988-05-01,"1988","05","01",15.161
