"date","year","month","day","5410002"
1979-01-01,"1979","01","01",158.064978124848
1979-02-01,"1979","02","01",64.4983397293139
1979-03-01,"1979","03","01",41.0373552324809
1979-04-01,"1979","04","01",22.8977593050012
1979-05-01,"1979","05","01",19.087230386844
1979-06-01,"1979","06","01",13.9201696899713
1979-07-01,"1979","07","01",13.3513028434633
1979-08-01,"1979","08","01",17.8401794140895
1979-09-01,"1979","09","01",22.7836997648102
1979-10-01,"1979","10","01",36.4787756095158
1979-11-01,"1979","11","01",47.5898100863396
1979-12-01,"1979","12","01",75.8521288834331
1980-01-01,"1980","01","01",79.275182417386
1980-02-01,"1980","02","01",47.9169851759985
1980-03-01,"1980","03","01",40.2072552455356
1980-04-01,"1980","04","01",45.6691946031242
1980-05-01,"1980","05","01",39.4962841116787
1980-06-01,"1980","06","01",28.6780024546782
1980-07-01,"1980","07","01",28.4084294768936
1980-08-01,"1980","08","01",30.28914456182
1980-09-01,"1980","09","01",31.6582678596677
1980-10-01,"1980","10","01",49.2128896077236
1980-11-01,"1980","11","01",79.1708118058779
1980-12-01,"1980","12","01",140.575848628902
1981-01-01,"1981","01","01",89.3339665340038
1981-02-01,"1981","02","01",62.8099314820428
1981-03-01,"1981","03","01",43.0853576430207
1981-04-01,"1981","04","01",23.4042817791825
1981-05-01,"1981","05","01",23.9525034401003
1981-06-01,"1981","06","01",18.9694506250912
1981-07-01,"1981","07","01",13.7416399365613
1981-08-01,"1981","08","01",15.6869887609292
1981-09-01,"1981","09","01",15.4986065526138
1981-10-01,"1981","10","01",25.4973765455756
1981-11-01,"1981","11","01",45.5833433363138
1981-12-01,"1981","12","01",41.7445243816648
1982-01-01,"1982","01","01",43.1753379469491
1982-02-01,"1982","02","01",29.7491809751382
1982-03-01,"1982","03","01",20.6409747898896
1982-04-01,"1982","04","01",16.9004350949607
1982-05-01,"1982","05","01",17.8820012454929
1982-06-01,"1982","06","01",33.0392468086463
1982-07-01,"1982","07","01",50.1253659292512
1982-08-01,"1982","08","01",42.165277352147
1982-09-01,"1982","09","01",55.0797198922123
1982-10-01,"1982","10","01",64.4499768490107
1982-11-01,"1982","11","01",108.887614588962
1982-12-01,"1982","12","01",228.433377781545
1983-01-01,"1983","01","01",211.930229644139
1983-02-01,"1983","02","01",129.120305282835
1983-03-01,"1983","03","01",70.5040037767017
1983-04-01,"1983","04","01",36.0538527203599
1983-05-01,"1983","05","01",24.0716322931887
1983-06-01,"1983","06","01",18.9032225049804
1983-07-01,"1983","07","01",22.4849373563101
1983-08-01,"1983","08","01",25.0563463235039
1983-09-01,"1983","09","01",24.7288441814001
1983-10-01,"1983","10","01",66.36364246777
1983-11-01,"1983","11","01",115.527596853412
1983-12-01,"1983","12","01",147.566431114383
1984-01-01,"1984","01","01",94.3906061491361
1984-02-01,"1984","02","01",58.9142871650764
1984-03-01,"1984","03","01",33.6247524482932
1984-04-01,"1984","04","01",21.1893190954743
1984-05-01,"1984","05","01",16.0912664644949
1984-06-01,"1984","06","01",12.3073923206045
1984-07-01,"1984","07","01",21.9336495787204
1984-08-01,"1984","08","01",23.5685029881241
1984-09-01,"1984","09","01",30.5471071778074
1984-10-01,"1984","10","01",84.5016440145804
1984-11-01,"1984","11","01",111.291450059653
1984-12-01,"1984","12","01",150.022513213162
1985-01-01,"1985","01","01",127.897497072565
1985-02-01,"1985","02","01",72.3565923513588
1985-03-01,"1985","03","01",58.0841871781311
1985-04-01,"1985","04","01",29.4837779160272
1985-05-01,"1985","05","01",23.9892559586063
1985-06-01,"1985","06","01",18.7768984981022
1985-07-01,"1985","07","01",20.5142419674552
1985-08-01,"1985","08","01",18.3838632223331
1985-09-01,"1985","09","01",17.8043262898073
1985-10-01,"1985","10","01",26.5809421773896
1985-11-01,"1985","11","01",71.23570185926
1985-12-01,"1985","12","01",72.7889965651938
1986-01-01,"1986","01","01",57.1691762001548
1986-02-01,"1986","02","01",39.5900255187245
1986-03-01,"1986","03","01",29.4881931240346
1986-04-01,"1986","04","01",19.9506079600672
1986-05-01,"1986","05","01",18.3103581853211
1986-06-01,"1986","06","01",58.38744655775
1986-07-01,"1986","07","01",31.5729480530804
1986-08-01,"1986","08","01",28.1714390989413
1986-09-01,"1986","09","01",31.4338281192919
1986-10-01,"1986","10","01",53.1745576370227
1986-11-01,"1986","11","01",96.0553030941453
1986-12-01,"1986","12","01",187.961250937122
1987-01-01,"1987","01","01",127.509694635916
1987-02-01,"1987","02","01",70.3694216955875
1987-03-01,"1987","03","01",47.7339175699142
1987-04-01,"1987","04","01",23.5882487794905
1987-05-01,"1987","05","01",18.368655283641
1987-06-01,"1987","06","01",21.8148068965215
1987-07-01,"1987","07","01",50.3902375281391
1987-08-01,"1987","08","01",63.3055794624281
1987-09-01,"1987","09","01",43.6038584129998
1987-10-01,"1987","10","01",69.7689534065822
1987-11-01,"1987","11","01",180.021521374718
1987-12-01,"1987","12","01",223.132143819115
1988-01-01,"1988","01","01",187.818042847771
1988-02-01,"1988","02","01",93.0265521641858
1988-03-01,"1988","03","01",54.8056090617534
1988-04-01,"1988","04","01",29.6346308562798
1988-05-01,"1988","05","01",19.2139632092784
1988-06-01,"1988","06","01",13.4344968091582
1988-07-01,"1988","07","01",11.9990636280884
1988-08-01,"1988","08","01",13.2410452879454
1988-09-01,"1988","09","01",12.8887280415778
1988-10-01,"1988","10","01",23.3112353585823
1988-11-01,"1988","11","01",40.0275399270125
1988-12-01,"1988","12","01",40.1983839479652
1989-01-01,"1989","01","01",39.3936305255068
1989-02-01,"1989","02","01",33.4293386124105
1989-03-01,"1989","03","01",22.0641843858279
1989-04-01,"1989","04","01",13.1450553953403
1989-05-01,"1989","05","01",11.4731224149856
1989-06-01,"1989","06","01",7.93510994661798
1989-07-01,"1989","07","01",8.47462383618788
1989-08-01,"1989","08","01",18.648734821221
1989-09-01,"1989","09","01",28.2450667806201
1989-10-01,"1989","10","01",48.7921366372414
1989-11-01,"1989","11","01",95.6260467600933
1989-12-01,"1989","12","01",73.8358096785019
1990-01-01,"1990","01","01",46.0445690468638
1990-02-01,"1990","02","01",29.556874137483
1990-03-01,"1990","03","01",21.2252131013122
1990-04-01,"1990","04","01",12.8899544882465
1990-05-01,"1990","05","01",9.73688274763444
1990-06-01,"1990","06","01",8.76296144800394
1990-07-01,"1990","07","01",8.88650550909965
1990-08-01,"1990","08","01",9.18306031359614
1990-09-01,"1990","09","01",14.0305498901561
1990-10-01,"1990","10","01",24.0424837440288
1990-11-01,"1990","11","01",41.0700195954245
1990-12-01,"1990","12","01",37.3367568173966
1991-01-01,"1991","01","01",32.2674439200209
1991-02-01,"1991","02","01",23.1180291267033
1991-03-01,"1991","03","01",19.8932511375267
1991-04-01,"1991","04","01",14.5898095710923
1991-05-01,"1991","05","01",17.2711490413591
1991-06-01,"1991","06","01",19.9211732400179
1991-07-01,"1991","07","01",34.7856251017923
1991-08-01,"1991","08","01",26.3680310356999
1991-09-01,"1991","09","01",41.588806536293
1991-10-01,"1991","10","01",48.4727699247067
1991-11-01,"1991","11","01",95.1882052993603
1991-12-01,"1991","12","01",107.873711127931
1992-01-01,"1992","01","01",101.652396874627
1992-02-01,"1992","02","01",58.08083489057
1992-03-01,"1992","03","01",41.5151379730586
1992-04-01,"1992","04","01",23.2448437122489
1992-05-01,"1992","05","01",21.1276288280377
1992-06-01,"1992","06","01",25.8498164366101
1992-07-01,"1992","07","01",22.4076303346251
1992-08-01,"1992","08","01",20.9552721895269
1992-09-01,"1992","09","01",26.945033311777
1992-10-01,"1992","10","01",52.4433092515763
1992-11-01,"1992","11","01",80.7700982618888
1992-12-01,"1992","12","01",94.6326658399858
1993-01-01,"1993","01","01",82.3687306130096
1993-02-01,"1993","02","01",43.5391837920027
1993-03-01,"1993","03","01",33.2648312325795
1993-04-01,"1993","04","01",24.3044936340229
1993-05-01,"1993","05","01",54.8157476875481
1993-06-01,"1993","06","01",39.2622372057313
1993-07-01,"1993","07","01",20.6042222713837
1993-08-01,"1993","08","01",18.4624375722424
1993-09-01,"1993","09","01",21.4100794958439
1993-10-01,"1993","10","01",35.0644373111479
1993-11-01,"1993","11","01",55.9836110870589
1993-12-01,"1993","12","01",69.0453089904818
1994-01-01,"1994","01","01",55.9221252274004
1994-02-01,"1994","02","01",30.8538006080987
1994-03-01,"1994","03","01",27.5542502536858
1994-04-01,"1994","04","01",16.8599623548929
1994-05-01,"1994","05","01",14.5932845033204
1994-06-01,"1994","06","01",12.8985396149276
1994-07-01,"1994","07","01",14.8568887739839
1994-08-01,"1994","08","01",18.4953881060754
1994-09-01,"1994","09","01",22.9836105718116
1994-10-01,"1994","10","01",31.1319178310087
1994-11-01,"1994","11","01",61.5222442429981
1994-12-01,"1994","12","01",72.0045203943249
1995-01-01,"1995","01","01",50.0886134107453
1995-02-01,"1995","02","01",29.7411681902359
1995-03-01,"1995","03","01",23.0729776524056
1995-04-01,"1995","04","01",16.0799422735871
1995-05-01,"1995","05","01",15.0279780842704
1995-06-01,"1995","06","01",13.2848703155743
1995-07-01,"1995","07","01",13.3031443709383
1995-08-01,"1995","08","01",12.5528860621267
1995-09-01,"1995","09","01",19.6194673595128
1995-10-01,"1995","10","01",23.2871561223198
1995-11-01,"1995","11","01",52.2012495607266
1995-12-01,"1995","12","01",49.6057613572702
1996-01-01,"1996","01","01",32.4651471230185
1996-02-01,"1996","02","01",26.9609362369147
1996-03-01,"1996","03","01",24.0665629802913
1996-04-01,"1996","04","01",14.534619471
1996-05-01,"1996","05","01",11.5745086729331
1996-06-01,"1996","06","01",9.86063121650828
1996-07-01,"1996","07","01",9.38583282949117
1996-08-01,"1996","08","01",8.25791070982507
1996-09-01,"1996","09","01",8.05162238014637
1996-10-01,"1996","10","01",11.3514589054486
1996-11-01,"1996","11","01",14.8547220515359
1996-12-01,"1996","12","01",18.3737245965383
1997-01-01,"1997","01","01",24.6888211384442
1997-02-01,"1997","02","01",17.5789053920966
1997-03-01,"1997","03","01",16.8288514910631
1997-04-01,"1997","04","01",11.5972796994157
1997-05-01,"1997","05","01",9.36682290612601
1997-06-01,"1997","06","01",31.3970347192303
1997-07-01,"1997","07","01",28.1955183352038
1997-08-01,"1997","08","01",36.5434093489573
1997-09-01,"1997","09","01",46.5718593513021
1997-10-01,"1997","10","01",50.3129305064541
1997-11-01,"1997","11","01",90.3118533445299
1997-12-01,"1997","12","01",168.003366060153
1998-01-01,"1998","01","01",184.985564266362
1998-02-01,"1998","02","01",72.8636871673188
1998-03-01,"1998","03","01",45.0674589858946
1998-04-01,"1998","04","01",31.9452563801481
1998-05-01,"1998","05","01",21.8715504957276
1998-06-01,"1998","06","01",15.50228589262
1998-07-01,"1998","07","01",14.8847699949195
1998-08-01,"1998","08","01",13.3842533772963
1998-09-01,"1998","09","01",11.0981159052467
1998-10-01,"1998","10","01",20.9349949379374
1998-11-01,"1998","11","01",27.1412647787722
1998-12-01,"1998","12","01",34.6512883100118
1999-01-01,"1999","01","01",32.2965924691808
1999-02-01,"1999","02","01",26.4089943544351
1999-03-01,"1999","03","01",20.2607763225865
1999-04-01,"1999","04","01",12.8580668748598
1999-05-01,"1999","05","01",11.1423497484319
1999-06-01,"1999","06","01",10.0642213635158
1999-07-01,"1999","07","01",11.0878546347851
1999-08-01,"1999","08","01",13.1257184195301
1999-09-01,"1999","09","01",27.2884383790186
1999-10-01,"1999","10","01",46.8949462853985
1999-11-01,"1999","11","01",69.0489474489323
1999-12-01,"1999","12","01",65.357383857641
2000-01-01,"2000","01","01",46.3297178973412
2000-02-01,"2000","02","01",26.9573795415754
2000-03-01,"2000","03","01",21.3075894358945
2000-04-01,"2000","04","01",16.3975919607855
2000-05-01,"2000","05","01",12.6023118628761
2000-06-01,"2000","06","01",16.9310962616787
2000-07-01,"2000","07","01",29.3779355685167
2000-08-01,"2000","08","01",27.7215375792992
2000-09-01,"2000","09","01",29.5659498428315
2000-10-01,"2000","10","01",70.8195685045633
2000-11-01,"2000","11","01",88.7861536886422
2000-12-01,"2000","12","01",154.924538784924
2001-01-01,"2001","01","01",98.4055019638577
2001-02-01,"2001","02","01",55.970447226148
2001-03-01,"2001","03","01",34.9617837249761
2001-04-01,"2001","04","01",19.2270044255224
2001-05-01,"2001","05","01",14.9709483141749
2001-06-01,"2001","06","01",11.7211508129564
2001-07-01,"2001","07","01",16.5132867632014
2001-08-01,"2001","08","01",24.4467614475945
2001-09-01,"2001","09","01",27.3951392391972
2001-10-01,"2001","10","01",54.5445394475385
2001-11-01,"2001","11","01",73.884826663695
2001-12-01,"2001","12","01",135.133941233569
2002-01-01,"2002","01","01",72.6305805371508
2002-02-01,"2002","02","01",43.6616649326522
2002-03-01,"2002","03","01",28.1917163505308
2002-04-01,"2002","04","01",16.7409970280271
2002-05-01,"2002","05","01",18.9427549692688
2002-06-01,"2002","06","01",30.1423797771298
2002-07-01,"2002","07","01",32.3662955215197
2002-08-01,"2002","08","01",38.1668568043419
2002-09-01,"2002","09","01",38.6490138713713
2002-10-01,"2002","10","01",64.7363930277124
2002-11-01,"2002","11","01",120.694616668729
2002-12-01,"2002","12","01",171.302221428121
