"date","year","month","day","5410002"
1979-01-01,1979,1,1,13.321668
1979-01-02,1979,1,2,15.415737
1979-01-03,1979,1,3,16.821168
1979-01-04,1979,1,4,17.45535
1979-01-05,1979,1,5,17.229084
1979-01-06,1979,1,6,16.439102
1979-01-07,1979,1,7,16.508753
1979-01-08,1979,1,8,16.502588
1979-01-09,1979,1,9,17.070255
1979-01-10,1979,1,10,16.36691
1979-01-11,1979,1,11,15.020186
1979-01-12,1979,1,12,11.857804
1979-01-13,1979,1,13,14.680431
1979-01-14,1979,1,14,16.17664
1979-01-15,1979,1,15,15.960905
1979-01-16,1979,1,16,16.380733
1979-01-17,1979,1,17,17.762226
1979-01-18,1979,1,18,17.535559
1979-01-19,1979,1,19,16.192715
1979-01-20,1979,1,20,17.179049
1979-01-21,1979,1,21,16.914557
1979-01-22,1979,1,22,15.902325
1979-01-23,1979,1,23,14.750631
1979-01-24,1979,1,24,15.695304
1979-01-25,1979,1,25,16.460334
1979-01-26,1979,1,26,16.171401
1979-01-27,1979,1,27,16.562981
1979-01-28,1979,1,28,16.98619
1979-01-29,1979,1,29,16.502813
1979-01-30,1979,1,30,14.559093
1979-01-31,1979,1,31,14.281418
1979-02-01,1979,2,1,14.905603
1979-02-02,1979,2,2,14.470023
1979-02-03,1979,2,3,14.100457
1979-02-04,1979,2,4,13.129428
1979-02-05,1979,2,5,14.098379
1979-02-06,1979,2,6,12.787529
1979-02-07,1979,2,7,12.583663
1979-02-08,1979,2,8,10.452201
1979-02-09,1979,2,9,11.275901
1979-02-10,1979,2,10,14.268843
1979-02-11,1979,2,11,13.797483
1979-02-12,1979,2,12,13.900398
1979-02-13,1979,2,13,12.868903
1979-02-14,1979,2,14,10.33068
1979-02-15,1979,2,15,12.170641
1979-02-16,1979,2,16,13.473687
1979-02-17,1979,2,17,13.574773
1979-02-18,1979,2,18,14.404844
1979-02-19,1979,2,19,12.649797
1979-02-20,1979,2,20,16.596
1979-02-21,1979,2,21,19.796121
1979-02-22,1979,2,22,17.874203
1979-02-23,1979,2,23,14.883876
1979-02-24,1979,2,24,13.811982
1979-02-25,1979,2,25,14.977307
1979-02-26,1979,2,26,14.693893
1979-02-27,1979,2,27,13.934846
1979-02-28,1979,2,28,15.413713
1979-03-01,1979,3,1,15.383394
1979-03-02,1979,3,2,12.491934
1979-03-03,1979,3,3,13.905893
1979-03-04,1979,3,4,12.202111
1979-03-05,1979,3,5,14.375486
1979-03-06,1979,3,6,12.765423
1979-03-07,1979,3,7,14.388626
1979-03-08,1979,3,8,11.221878
1979-03-09,1979,3,9,13.324198
1979-03-10,1979,3,10,12.940697
1979-03-11,1979,3,11,11.731865
1979-03-12,1979,3,12,10.046613
1979-03-13,1979,3,13,13.752195
1979-03-14,1979,3,14,14.878237
1979-03-15,1979,3,15,14.65485
1979-03-16,1979,3,16,15.220846
1979-03-17,1979,3,17,15.470029
1979-03-18,1979,3,18,15.134937
1979-03-19,1979,3,19,15.87361
1979-03-20,1979,3,20,17.033769
