"date","year","month","day","5410002"
1979-01-01,1979,1,1,16.0214164516129
1979-02-01,1979,2,1,13.9723276428571
1979-03-01,1979,3,1,13.6315259677419
1979-04-01,1979,4,1,10.42078995
1979-05-01,1979,5,1,6.72720765483871
1979-06-01,1979,6,1,5.41801038066667
1979-07-01,1979,7,1,6.28865707354839
1979-08-01,1979,8,1,5.71669077870968
1979-09-01,1979,9,1,3.88355342836667
1979-10-01,1979,10,1,8.35373480096774
1979-11-01,1979,11,1,9.1747657
1979-12-01,1979,12,1,11.7006298032258
1980-01-01,1980,1,1,14.9324600322581
1980-02-01,1980,2,1,13.5365207586207
1980-03-01,1980,3,1,15.9976433548387
1980-04-01,1980,4,1,6.95938605633333
1980-05-01,1980,5,1,5.63504962580645
1980-06-01,1980,6,1,3.99631480433333
1980-07-01,1980,7,1,2.2465997716129
1980-08-01,1980,8,1,4.9263762106129
1980-09-01,1980,9,1,6.8997544159
1980-10-01,1980,10,1,7.63092182258065
1980-11-01,1980,11,1,8.729586582
1980-12-01,1980,12,1,12.1086724483871
1981-01-01,1981,1,1,13.3769796967742
1981-02-01,1981,2,1,15.9789249678571
1981-03-01,1981,3,1,13.8781338677419
1981-04-01,1981,4,1,10.9495641266667
1981-05-01,1981,5,1,6.11075907096774
1981-06-01,1981,6,1,2.86072879333333
1981-07-01,1981,7,1,3.44774500677419
1981-08-01,1981,8,1,5.21933787580645
1981-09-01,1981,9,1,6.21110044012067
1981-10-01,1981,10,1,7.0791002383871
1981-11-01,1981,11,1,10.0411706666667
1981-12-01,1981,12,1,13.8991497645161
1982-01-01,1982,1,1,15.156455483871
1982-02-01,1982,2,1,13.6108546428571
1982-03-01,1982,3,1,12.8710440483871
1982-04-01,1982,4,1,12.4456217466667
1982-05-01,1982,5,1,6.15980214967742
1982-06-01,1982,6,1,1.84376618233333
1982-07-01,1982,7,1,3.07061247916129
1982-08-01,1982,8,1,6.21922098064516
1982-09-01,1982,9,1,6.21760762333333
1982-10-01,1982,10,1,6.54444612903226
1982-11-01,1982,11,1,8.51924738
1982-12-01,1982,12,1,13.3894148806452
1983-01-01,1983,1,1,14.2477275483871
1983-02-01,1983,2,1,14.6727446107143
1983-03-01,1983,3,1,14.0976720322581
1983-04-01,1983,4,1,10.15432314
1983-05-01,1983,5,1,4.17345688935484
1983-06-01,1983,6,1,-0.0858534186666667
1983-07-01,1983,7,1,1.21782330709677
1983-08-01,1983,8,1,3.06170929451613
1983-09-01,1983,9,1,2.81071050995
1983-10-01,1983,10,1,8.8148107183871
1983-11-01,1983,11,1,11.12974867
1983-12-01,1983,12,1,14.6408908387097
1984-01-01,1984,1,1,15.1061189032258
1984-02-01,1984,2,1,14.7652359655172
1984-03-01,1984,3,1,13.0637913967742
1984-04-01,1984,4,1,10.6091910966667
1984-05-01,1984,5,1,3.5556981483871
1984-06-01,1984,6,1,0.113462317233333
1984-07-01,1984,7,1,2.49744685822581
1984-08-01,1984,8,1,2.21709572129032
1984-09-01,1984,9,1,4.80930757633333
1984-10-01,1984,10,1,7.85813949
1984-11-01,1984,11,1,9.12586608666667
1984-12-01,1984,12,1,12.0907341129032
1985-01-01,1985,1,1,14.0394561935484
1985-02-01,1985,2,1,15.3411008928571
1985-03-01,1985,3,1,13.323555183871
1985-04-01,1985,4,1,10.6216514766667
1985-05-01,1985,5,1,7.87865109032258
1985-06-01,1985,6,1,6.41648741766667
1985-07-01,1985,7,1,2.21682367454839
1985-08-01,1985,8,1,3.7749573033871
1985-09-01,1985,9,1,6.685662223
1985-10-01,1985,10,1,7.1770656483871
1985-11-01,1985,11,1,10.76946538
1985-12-01,1985,12,1,13.8453187096774
1986-01-01,1986,1,1,15.8848439677419
1986-02-01,1986,2,1,14.1977756428571
1986-03-01,1986,3,1,13.5974426548387
1986-04-01,1986,4,1,9.88976797
1986-05-01,1986,5,1,5.57774674903226
1986-06-01,1986,6,1,3.266119695
1986-07-01,1986,7,1,6.40597958387097
1986-08-01,1986,8,1,4.49653357870968
1986-09-01,1986,9,1,5.41603597266667
1986-10-01,1986,10,1,8.12704688709677
1986-11-01,1986,11,1,8.75265312
1986-12-01,1986,12,1,14.3094599096774
1987-01-01,1987,1,1,15.6630298709677
1987-02-01,1987,2,1,16.1747886428571
1987-03-01,1987,3,1,13.6445561387097
1987-04-01,1987,4,1,11.6017409
1987-05-01,1987,5,1,2.78782854677419
1987-06-01,1987,6,1,4.967744146
1987-07-01,1987,7,1,1.70416326112903
1987-08-01,1987,8,1,3.40673049905806
1987-09-01,1987,9,1,5.078434387
1987-10-01,1987,10,1,7.01656105806452
1987-11-01,1987,11,1,10.9205325866667
1987-12-01,1987,12,1,12.4081638677419
1988-01-01,1988,1,1,14.237049483871
1988-02-01,1988,2,1,14.9772076551724
1988-03-01,1988,3,1,14.5568626548387
1988-04-01,1988,4,1,11.3393169433333
1988-05-01,1988,5,1,7.02477899354839
1988-06-01,1988,6,1,4.24555279683333
1988-07-01,1988,7,1,3.37995404032258
1988-08-01,1988,8,1,2.95588403645161
1988-09-01,1988,9,1,4.87317493233333
1988-10-01,1988,10,1,8.0789166
1988-11-01,1988,11,1,11.4243457266667
1988-12-01,1988,12,1,13.2001490677419
1989-01-01,1989,1,1,15.4243747741935
1989-02-01,1989,2,1,16.0235250357143
1989-03-01,1989,3,1,13.509179516129
1989-04-01,1989,4,1,12.0870275666667
1989-05-01,1989,5,1,6.73704565677419
1989-06-01,1989,6,1,5.54777656133333
1989-07-01,1989,7,1,3.99615173741935
1989-08-01,1989,8,1,3.99253943258065
1989-09-01,1989,9,1,4.80437771033333
1989-10-01,1989,10,1,9.24389749677419
1989-11-01,1989,11,1,11.23985457
1989-12-01,1989,12,1,13.2878480935484
1990-01-01,1990,1,1,15.7426386451613
1990-02-01,1990,2,1,14.3417902142857
1990-03-01,1990,3,1,12.7079962290323
1990-04-01,1990,4,1,8.70422770333333
1990-05-01,1990,5,1,6.70945727967742
1990-06-01,1990,6,1,5.38329102433333
1990-07-01,1990,7,1,2.72354002341935
1990-08-01,1990,8,1,7.25129794193548
1990-09-01,1990,9,1,5.79254511133333
1990-10-01,1990,10,1,8.03301846129032
1990-11-01,1990,11,1,11.43946137
1990-12-01,1990,12,1,14.2769482096774
1991-01-01,1991,1,1,15.0342223935484
1991-02-01,1991,2,1,15.50925425
1991-03-01,1991,3,1,14.7913085354839
1991-04-01,1991,4,1,9.74532998
1991-05-01,1991,5,1,7.00803048387097
1991-06-01,1991,6,1,2.85413809916667
1991-07-01,1991,7,1,2.27204265893548
1991-08-01,1991,8,1,4.38942382451613
1991-09-01,1991,9,1,7.19077409
1991-10-01,1991,10,1,7.11675388806452
1991-11-01,1991,11,1,10.2581075233333
1991-12-01,1991,12,1,11.5169824870968
1992-01-01,1992,1,1,15.9418187096774
1992-02-01,1992,2,1,14.0073119931034
1992-03-01,1992,3,1,14.0783338677419
1992-04-01,1992,4,1,8.801820155
1992-05-01,1992,5,1,3.27692935645161
1992-06-01,1992,6,1,1.83995609266667
1992-07-01,1992,7,1,1.66957593903226
1992-08-01,1992,8,1,4.56003103196774
1992-09-01,1992,9,1,6.24671957666667
1992-10-01,1992,10,1,8.38872262903226
1992-11-01,1992,11,1,9.78002769666667
1992-12-01,1992,12,1,13.0739565451613
1993-01-01,1993,1,1,16.0038432903226
1993-02-01,1993,2,1,14.9303987142857
1993-03-01,1993,3,1,15.2114808193548
1993-04-01,1993,4,1,9.40498264666667
1993-05-01,1993,5,1,3.48560904806452
1993-06-01,1993,6,1,4.05806156733333
1993-07-01,1993,7,1,2.55689079419355
1993-08-01,1993,8,1,5.79522829483871
1993-09-01,1993,9,1,5.29728604133333
1993-10-01,1993,10,1,8.2766219483871
1993-11-01,1993,11,1,10.0457035333333
1993-12-01,1993,12,1,13.8991330580645
