"date","year","month","day","5410002"
1979-01-01,1979,1,1,4.7714123
1979-01-02,1979,1,2,5.1530127
1979-01-03,1979,1,3,6.5692799
1979-01-04,1979,1,4,7.274199
1979-01-05,1979,1,5,8.1025673
1979-01-06,1979,1,6,8.265537
1979-01-07,1979,1,7,8.2595629
1979-01-08,1979,1,8,7.8695339
1979-01-09,1979,1,9,7.4755229
1979-01-10,1979,1,10,7.1056636
1979-01-11,1979,1,11,6.4975458
1979-01-12,1979,1,12,4.9668158
1979-01-13,1979,1,13,4.8342311
1979-01-14,1979,1,14,5.9026768
1979-01-15,1979,1,15,6.5666822
1979-01-16,1979,1,16,6.6437102
1979-01-17,1979,1,17,7.6573434
1979-01-18,1979,1,18,9.3668746
1979-01-19,1979,1,19,8.6099268
1979-01-20,1979,1,20,7.7690153
1979-01-21,1979,1,21,8.1300652
1979-01-22,1979,1,22,7.407437
1979-01-23,1979,1,23,6.5873828
1979-01-24,1979,1,24,6.1153233
1979-01-25,1979,1,25,7.2857259
1979-01-26,1979,1,26,7.882734
1979-01-27,1979,1,27,7.2240552
1979-01-28,1979,1,28,7.8914602
1979-01-29,1979,1,29,8.4335986
1979-01-30,1979,1,30,8.7687001
1979-01-31,1979,1,31,6.8710719
1979-02-01,1979,2,1,6.1835763
1979-02-02,1979,2,2,7.341249
1979-02-03,1979,2,3,6.6158276
1979-02-04,1979,2,4,5.0794066
1979-02-05,1979,2,5,6.0060651
1979-02-06,1979,2,6,4.5129278
1979-02-07,1979,2,7,5.8665972
1979-02-08,1979,2,8,5.317684
1979-02-09,1979,2,9,3.0873799
1979-02-10,1979,2,10,4.4941356
1979-02-11,1979,2,11,5.568586
1979-02-12,1979,2,12,4.6486868
1979-02-13,1979,2,13,4.7412565
1979-02-14,1979,2,14,4.4856667
1979-02-15,1979,2,15,3.7441318
1979-02-16,1979,2,16,4.6164606
1979-02-17,1979,2,17,5.4446559
1979-02-18,1979,2,18,5.6799263
1979-02-19,1979,2,19,5.4566555
1979-02-20,1979,2,20,6.0973257
1979-02-21,1979,2,21,8.7823545
1979-02-22,1979,2,22,9.3794679
1979-02-23,1979,2,23,8.944519
1979-02-24,1979,2,24,7.4833615
1979-02-25,1979,2,25,5.2762338
1979-02-26,1979,2,26,6.123953
1979-02-27,1979,2,27,4.7867785
1979-02-28,1979,2,28,6.3276056
1979-03-01,1979,3,1,7.9799044
1979-03-02,1979,3,2,5.9985873
1979-03-03,1979,3,3,5.3436097
1979-03-04,1979,3,4,5.2242148
1979-03-05,1979,3,5,5.1128488
1979-03-06,1979,3,6,5.1274092
1979-03-07,1979,3,7,4.7381353
1979-03-08,1979,3,8,3.8154782
1979-03-09,1979,3,9,4.1061805
1979-03-10,1979,3,10,4.6675959
1979-03-11,1979,3,11,5.1116749
1979-03-12,1979,3,12,4.2634683
1979-03-13,1979,3,13,3.1880933
1979-03-14,1979,3,14,5.2496014
1979-03-15,1979,3,15,5.6781012
1979-03-16,1979,3,16,6.3075474
1979-03-17,1979,3,17,6.7455291
1979-03-18,1979,3,18,6.886017
1979-03-19,1979,3,19,7.2778949
1979-03-20,1979,3,20,7.5653322
1979-03-21,1979,3,21,6.7920823
1979-03-22,1979,3,22,4.4980471
1979-03-23,1979,3,23,5.9969
1979-03-24,1979,3,24,5.4201131
1979-03-25,1979,3,25,5.4589847
1979-03-26,1979,3,26,4.0059054
1979-03-27,1979,3,27,3.098687
1979-03-28,1979,3,28,3.6866452
1979-03-29,1979,3,29,5.1066489
1979-03-30,1979,3,30,6.0588711
1979-03-31,1979,3,31,5.8568076
1979-04-01,1979,4,1,4.0563827
1979-04-02,1979,4,2,3.6275792
