"date","year","month","day","5410002"
1979-01-01,1979,1,1,7.16963444193548
1979-02-01,1979,2,1,5.78901695357143
1979-03-01,1979,3,1,5.36667471612903
1979-04-01,1979,4,1,2.14070609156667
1979-05-01,1979,5,1,-0.756251381935484
1979-06-01,1979,6,1,-2.88355529336667
1979-07-01,1979,7,1,-2.62906040545161
1979-08-01,1979,8,1,-2.70209737083871
1979-09-01,1979,9,1,-4.78724437933333
1979-10-01,1979,10,1,-0.403924751225806
1979-11-01,1979,11,1,2.28733680006667
1979-12-01,1979,12,1,4.83559398387097
1980-01-01,1980,1,1,6.32240556774194
1980-02-01,1980,2,1,5.3902231862069
1980-03-01,1980,3,1,7.50698983548387
1980-04-01,1980,4,1,1.12349107506667
1980-05-01,1980,5,1,-0.549294592451613
1980-06-01,1980,6,1,-2.64163030710333
1980-07-01,1980,7,1,-4.80830712387097
1980-08-01,1980,8,1,-4.38363245483871
1980-09-01,1980,9,1,-2.47287300679667
1980-10-01,1980,10,1,-0.841587622593548
1980-11-01,1980,11,1,1.11213423533333
1980-12-01,1980,12,1,4.57532303322581
1981-01-01,1981,1,1,4.93207221290323
1981-02-01,1981,2,1,6.98757345
1981-03-01,1981,3,1,5.6329452516129
1981-04-01,1981,4,1,2.72815233
1981-05-01,1981,5,1,-0.250771143967742
1981-06-01,1981,6,1,-3.38667165966667
1981-07-01,1981,7,1,-4.44021424709677
1981-08-01,1981,8,1,-3.4639265
1981-09-01,1981,9,1,-2.96725132426667
1981-10-01,1981,10,1,-1.32791359070968
1981-11-01,1981,11,1,2.3272031078
1981-12-01,1981,12,1,5.19066997451613
1982-01-01,1982,1,1,6.55566462903226
1982-02-01,1982,2,1,5.83832762857143
1982-03-01,1982,3,1,4.4758900983871
1982-04-01,1982,4,1,3.78335556366667
1982-05-01,1982,5,1,-0.446761295548387
1982-06-01,1982,6,1,-2.67779652833333
1982-07-01,1982,7,1,-3.41459840548387
1982-08-01,1982,8,1,-1.69951978767742
1982-09-01,1982,9,1,-1.03771125888667
1982-10-01,1982,10,1,-1.56823003167742
1982-11-01,1982,11,1,1.19280810363333
1982-12-01,1982,12,1,5.58894891935484
1983-01-01,1983,1,1,6.06694527096774
1983-02-01,1983,2,1,6.16430266428571
1983-03-01,1983,3,1,5.6318458
1983-04-01,1983,4,1,1.819383291
1983-05-01,1983,5,1,-2.9619293426129
1983-06-01,1983,6,1,-5.527597096
1983-07-01,1983,7,1,-6.01281773548387
1983-08-01,1983,8,1,-5.11614004096774
1983-09-01,1983,9,1,-5.89559333
1983-10-01,1983,10,1,0.325516460193548
1983-11-01,1983,11,1,3.48144243266667
1983-12-01,1983,12,1,6.59614800645161
1984-01-01,1984,1,1,6.97021376129032
1984-02-01,1984,2,1,6.69145575172414
1984-03-01,1984,3,1,5.53594403419355
1984-04-01,1984,4,1,1.9534174435
1984-05-01,1984,5,1,-2.77781818358065
1984-06-01,1984,6,1,-5.05022152333333
1984-07-01,1984,7,1,-3.99777648870968
1984-08-01,1984,8,1,-6.58247480322581
1984-09-01,1984,9,1,-3.20426073333333
1984-10-01,1984,10,1,-0.163112046967742
1984-11-01,1984,11,1,1.8683410438
1984-12-01,1984,12,1,4.15741428064516
1985-01-01,1985,1,1,5.82042450645161
1985-02-01,1985,2,1,6.58148724285714
1985-03-01,1985,3,1,5.49303066451613
1985-04-01,1985,4,1,1.83110257066667
1985-05-01,1985,5,1,-0.284338473941935
1985-06-01,1985,6,1,-0.935291643
1985-07-01,1985,7,1,-5.16809828419355
1985-08-01,1985,8,1,-5.46079431290323
1985-09-01,1985,9,1,-2.88410269796667
1985-10-01,1985,10,1,-0.619343830322581
1985-11-01,1985,11,1,2.90572348466667
1985-12-01,1985,12,1,5.70611720645161
1986-01-01,1986,1,1,6.70506828709677
1986-02-01,1986,2,1,6.51381677142857
1986-03-01,1986,3,1,5.43640627419355
1986-04-01,1986,4,1,2.42600700533333
1986-05-01,1986,5,1,-0.722253650677419
1986-06-01,1986,6,1,-2.23748468741333
1986-07-01,1986,7,1,-1.560139779
1986-08-01,1986,8,1,-3.16420687525806
1986-09-01,1986,9,1,-2.70717516806667
1986-10-01,1986,10,1,0.258767971903226
1986-11-01,1986,11,1,1.727080357
1986-12-01,1986,12,1,6.16697657419355
1987-01-01,1987,1,1,6.70457688709677
1987-02-01,1987,2,1,7.47742180357143
1987-03-01,1987,3,1,6.51921491096774
1987-04-01,1987,4,1,2.88134546766667
1987-05-01,1987,5,1,-3.4551801416129
1987-06-01,1987,6,1,-1.56009635243333
1987-07-01,1987,7,1,-4.62276213451613
1987-08-01,1987,8,1,-4.36614620774194
1987-09-01,1987,9,1,-3.385055033
1987-10-01,1987,10,1,-1.0346031753871
1987-11-01,1987,11,1,2.817581356
1987-12-01,1987,12,1,4.55812188709677
1988-01-01,1988,1,1,5.41608474193548
1988-02-01,1988,2,1,6.24778932413793
1988-03-01,1988,3,1,6.66901288064516
1988-04-01,1988,4,1,3.0323580473
1988-05-01,1988,5,1,-1.10809026029032
1988-06-01,1988,6,1,-3.31138182603333
1988-07-01,1988,7,1,-4.89293536870968
1988-08-01,1988,8,1,-5.25657358387097
1988-09-01,1988,9,1,-4.82308092466667
1988-10-01,1988,10,1,-0.886951205483871
1988-11-01,1988,11,1,3.23332746
1988-12-01,1988,12,1,5.52440799677419
1989-01-01,1989,1,1,7.15762159677419
1989-02-01,1989,2,1,7.83758629642857
1989-03-01,1989,3,1,5.32038099677419
1989-04-01,1989,4,1,3.55315964433333
1989-05-01,1989,5,1,-0.789332669677419
1989-06-01,1989,6,1,-1.74992200966667
1989-07-01,1989,7,1,-4.63053953225806
1989-08-01,1989,8,1,-4.24592209129032
1989-09-01,1989,9,1,-3.78598058833333
1989-10-01,1989,10,1,0.204240155709677
1989-11-01,1989,11,1,3.50963116033333
1989-12-01,1989,12,1,5.62965897096774
1990-01-01,1990,1,1,6.65096470322581
1990-02-01,1990,2,1,6.454455175
1990-03-01,1990,3,1,4.70938379354839
1990-04-01,1990,4,1,1.02442448163333
1990-05-01,1990,5,1,-1.16560792290323
1990-06-01,1990,6,1,-1.58368117533333
1990-07-01,1990,7,1,-5.14836483903226
1990-08-01,1990,8,1,-2.42667447589355
1990-09-01,1990,9,1,-3.10016813966667
1990-10-01,1990,10,1,-0.145519105451613
1990-11-01,1990,11,1,3.3248835757
1990-12-01,1990,12,1,6.09148388
1991-01-01,1991,1,1,6.09204514064516
1991-02-01,1991,2,1,6.68022373214286
1991-03-01,1991,3,1,6.47386785483871
1991-04-01,1991,4,1,2.54634568733333
1991-05-01,1991,5,1,0.297154117129032
1991-06-01,1991,6,1,-3.0844343183
1991-07-01,1991,7,1,-4.46694731709677
1991-08-01,1991,8,1,-4.57932261796774
1991-09-01,1991,9,1,-1.12051352523333
1991-10-01,1991,10,1,-1.53934109
1991-11-01,1991,11,1,2.749277134
1991-12-01,1991,12,1,4.2024103716129
1992-01-01,1992,1,1,7.39905080322581
1992-02-01,1992,2,1,6.11479766551724
1992-03-01,1992,3,1,6.33365263935484
1992-04-01,1992,4,1,1.01878694456667
1992-05-01,1992,5,1,-2.36384702419355
1992-06-01,1992,6,1,-3.18809420693333
1992-07-01,1992,7,1,-5.30476415935484
1992-08-01,1992,8,1,-4.65835247
1992-09-01,1992,9,1,-2.74060722566667
1992-10-01,1992,10,1,-0.157167840322581
1992-11-01,1992,11,1,2.72871210133333
1992-12-01,1992,12,1,4.8330820483871
1993-01-01,1993,1,1,7.35397853225806
1993-02-01,1993,2,1,7.06925021785714
1993-03-01,1993,3,1,6.69273987419355
1993-04-01,1993,4,1,2.44299222733333
1993-05-01,1993,5,1,-2.61657761612903
1993-06-01,1993,6,1,-1.78445757036667
1993-07-01,1993,7,1,-4.61805433677419
1993-08-01,1993,8,1,-3.07005460251613
1993-09-01,1993,9,1,-4.12438465903333
1993-10-01,1993,10,1,0.0685660732258065
1993-11-01,1993,11,1,1.80520068373333
1993-12-01,1993,12,1,5.51630630322581
1994-01-01,1994,1,1,7.1725218483871
1994-02-01,1994,2,1,5.91369688571429
1994-03-01,1994,3,1,6.62711802580645
1994-04-01,1994,4,1,2.85183023066667
1994-05-01,1994,5,1,-0.392358530935484
1994-06-01,1994,6,1,-2.5067899227
1994-07-01,1994,7,1,-5.21096004451613
1994-08-01,1994,8,1,-3.75070583451613
1994-09-01,1994,9,1,-0.223640684
1994-10-01,1994,10,1,-1.10653860451613
1994-11-01,1994,11,1,2.5189130517
1994-12-01,1994,12,1,6.95432649967742
1995-01-01,1995,1,1,6.75912061935484
1995-02-01,1995,2,1,5.54787193214286
1995-03-01,1995,3,1,5.31651147741935
1995-04-01,1995,4,1,3.30561332466667
1995-05-01,1995,5,1,0.584087107419355
1995-06-01,1995,6,1,-2.21149747066667
1995-07-01,1995,7,1,-6.64252038064516
1995-08-01,1995,8,1,-6.18433866032258
1995-09-01,1995,9,1,-2.405104939
1995-10-01,1995,10,1,-1.16475008032258
1995-11-01,1995,11,1,3.04272613733333
1995-12-01,1995,12,1,6.87208794193548
1996-01-01,1996,1,1,5.3419294516129
1996-02-01,1996,2,1,5.92437012068966
1996-03-01,1996,3,1,5.80187241935484
1996-04-01,1996,4,1,1.254357635
1996-05-01,1996,5,1,0.324083250645161
1996-06-01,1996,6,1,-3.53974841166667
1996-07-01,1996,7,1,-4.16459073548387
1996-08-01,1996,8,1,-4.92140994403226
1996-09-01,1996,9,1,-2.58406936566667
1996-10-01,1996,10,1,-0.504252099354839
1996-11-01,1996,11,1,3.802204594
1996-12-01,1996,12,1,4.82181441709677
1997-01-01,1997,1,1,6.97325639354839
1997-02-01,1997,2,1,6.7966926
1997-03-01,1997,3,1,6.45553273225806
1997-04-01,1997,4,1,4.28671059266667
1997-05-01,1997,5,1,0.988076365483871
1997-06-01,1997,6,1,-4.19794421533333
1997-07-01,1997,7,1,-3.08689799258065
1997-08-01,1997,8,1,-3.48109634322581
1997-09-01,1997,9,1,-2.22293199396667
1997-10-01,1997,10,1,-2.99377874709677
1997-11-01,1997,11,1,1.41623968633333
1997-12-01,1997,12,1,4.67806709032258
1998-01-01,1998,1,1,7.59944360967742
1998-02-01,1998,2,1,6.24821107857143
1998-03-01,1998,3,1,5.14253347419355
1998-04-01,1998,4,1,0.950548078
1998-05-01,1998,5,1,-1.27846813741935
1998-06-01,1998,6,1,-3.10651546466667
1998-07-01,1998,7,1,-3.54298846548387
1998-08-01,1998,8,1,-4.18746429806452
1998-09-01,1998,9,1,-3.76828791133333
1998-10-01,1998,10,1,1.10224037183871
1998-11-01,1998,11,1,2.73594010804667
1998-12-01,1998,12,1,6.11097217290323
1999-01-01,1999,1,1,6.01154758387097
1999-02-01,1999,2,1,7.656025575
1999-03-01,1999,3,1,5.21763623548387
1999-04-01,1999,4,1,2.12843036033333
1999-05-01,1999,5,1,1.18008526064516
1999-06-01,1999,6,1,-3.39622788433333
1999-07-01,1999,7,1,-5.99603554419355
1999-08-01,1999,8,1,-3.6147174916129
1999-09-01,1999,9,1,-3.2595128782
1999-10-01,1999,10,1,0.0667959461290323
1999-11-01,1999,11,1,2.125888169
1999-12-01,1999,12,1,4.82498166387097
2000-01-01,2000,1,1,6.28312623225806
2000-02-01,2000,2,1,5.92967398206897
2000-03-01,2000,3,1,5.04837696451613
2000-04-01,2000,4,1,3.12962821366667
2000-05-01,2000,5,1,-2.27686453
2000-06-01,2000,6,1,-4.08156322033333
2000-07-01,2000,7,1,-4.75554102322581
2000-08-01,2000,8,1,-4.36102068967742
2000-09-01,2000,9,1,-3.590711545
2000-10-01,2000,10,1,0.0782463993548387
2000-11-01,2000,11,1,1.45928179966667
2000-12-01,2000,12,1,5.59413441612903
2001-01-01,2001,1,1,6.72083557096774
2001-02-01,2001,2,1,9.15614351785714
2001-03-01,2001,3,1,6.00235269612903
2001-04-01,2001,4,1,1.52639926933333
2001-05-01,2001,5,1,-2.20016892225806
2001-06-01,2001,6,1,-2.72143762733333
2001-07-01,2001,7,1,-4.00631895225806
2001-08-01,2001,8,1,-3.71636828625806
2001-09-01,2001,9,1,-3.907742303
2001-10-01,2001,10,1,0.855659060612903
2001-11-01,2001,11,1,2.1717326797
2001-12-01,2001,12,1,6.87886176258065
2002-01-01,2002,1,1,6.10021916451613
2002-02-01,2002,2,1,6.82655282857143
2002-03-01,2002,3,1,6.15597312322581
2002-04-01,2002,4,1,1.67871687533333
2002-05-01,2002,5,1,-0.941556349548387
2002-06-01,2002,6,1,-2.89426506066667
2002-07-01,2002,7,1,-4.76006434967742
2002-08-01,2002,8,1,-4.07930042680645
2002-09-01,2002,9,1,-2.53750343183333
2002-10-01,2002,10,1,0.448346982580645
2002-11-01,2002,11,1,2.41976561256667
2002-12-01,2002,12,1,4.87890502903226
2003-01-01,2003,1,1,6.78226887741936
2003-02-01,2003,2,1,6.72005953928571
2003-03-01,2003,3,1,7.0855623
2003-04-01,2003,4,1,3.04663585866667
2003-05-01,2003,5,1,0.544938952258065
2003-06-01,2003,6,1,-1.0814742135
2003-07-01,2003,7,1,-4.66408156225806
2003-08-01,2003,8,1,-3.41602499645161
2003-09-01,2003,9,1,-2.16164307363333
2003-10-01,2003,10,1,1.5313955833871
2003-11-01,2003,11,1,3.35686008033333
2003-12-01,2003,12,1,4.7694876
2004-01-01,2004,1,1,7.53313300322581
2004-02-01,2004,2,1,6.88996214482759
2004-03-01,2004,3,1,6.3020443516129
2004-04-01,2004,4,1,1.82555670684
2004-05-01,2004,5,1,-1.46146932941935
2004-06-01,2004,6,1,-2.45690719866667
2004-07-01,2004,7,1,-3.99778447193548
2004-08-01,2004,8,1,-5.05762340032258
2004-09-01,2004,9,1,-1.3460630252
2004-10-01,2004,10,1,-0.578330064129032
2004-11-01,2004,11,1,2.07389419616667
2004-12-01,2004,12,1,5.47315961935484
2005-01-01,2005,1,1,6.69794529032258
2005-02-01,2005,2,1,7.49625743928571
2005-03-01,2005,3,1,5.20148353225806
2005-04-01,2005,4,1,1.40659459833333
2005-05-01,2005,5,1,-2.57111076774194
2005-06-01,2005,6,1,-0.815305188666667
2005-07-01,2005,7,1,-3.33623902709677
2005-08-01,2005,8,1,-2.59819632354839
2005-09-01,2005,9,1,-5.02414211066667
2005-10-01,2005,10,1,-1.1742094146129
2005-11-01,2005,11,1,3.08577269533333
2005-12-01,2005,12,1,6.00946648064516
2006-01-01,2006,1,1,7.88685338709677
2006-02-01,2006,2,1,7.61899180357143
2006-03-01,2006,3,1,5.31348949032258
2006-04-01,2006,4,1,3.754976202
2006-05-01,2006,5,1,1.67439125945161
2006-06-01,2006,6,1,-1.53376574016667
2006-07-01,2006,7,1,-2.56629578219355
2006-08-01,2006,8,1,-3.51537979935484
2006-09-01,2006,9,1,-2.25083039452
2006-10-01,2006,10,1,-0.251874472580645
2006-11-01,2006,11,1,2.85841015116667
2006-12-01,2006,12,1,5.55138818709677
2007-01-01,2007,1,1,7.20635393548387
2007-02-01,2007,2,1,5.53273243571429
2007-03-01,2007,3,1,5.33084203548387
2007-04-01,2007,4,1,2.1705315573
2007-05-01,2007,5,1,-2.27218415709677
2007-06-01,2007,6,1,-4.51674586263333
2007-07-01,2007,7,1,-5.63783729645161
2007-08-01,2007,8,1,-7.93366664516129
2007-09-01,2007,9,1,-2.52528242823333
2007-10-01,2007,10,1,-0.0299112341935484
2007-11-01,2007,11,1,2.5795678109
2007-12-01,2007,12,1,4.99168710967742
2008-01-01,2008,1,1,7.4117254483871
2008-02-01,2008,2,1,6.2993266
2008-03-01,2008,3,1,5.40623270645161
2008-04-01,2008,4,1,2.85725940033333
2008-05-01,2008,5,1,-1.3084136233871
2008-06-01,2008,6,1,-3.7977490863
2008-07-01,2008,7,1,-3.87694186387097
2008-08-01,2008,8,1,-5.95418093870968
2008-09-01,2008,9,1,-3.01888456
2008-10-01,2008,10,1,-0.654647652580645
2008-11-01,2008,11,1,3.80299647166667
2008-12-01,2008,12,1,6.0165391
2009-01-01,2009,1,1,6.80612881935484
2009-02-01,2009,2,1,6.62620065357143
2009-03-01,2009,3,1,6.57612031290323
2009-04-01,2009,4,1,5.47753316666667
2009-05-01,2009,5,1,1.29788571806452
2009-06-01,2009,6,1,-2.488464366
2009-07-01,2009,7,1,-6.02275438709677
2009-08-01,2009,8,1,-3.88152920903226
2009-09-01,2009,9,1,-4.59683119233333
2009-10-01,2009,10,1,-0.257269591129032
2009-11-01,2009,11,1,2.53485831966667
2009-12-01,2009,12,1,5.0893302
2010-01-01,2010,1,1,7.39689069032258
2010-02-01,2010,2,1,7.08773827857143
2010-03-01,2010,3,1,6.9005417516129
2010-04-01,2010,4,1,2.80719025466667
2010-05-01,2010,5,1,-0.606111169032258
2010-06-01,2010,6,1,-4.01604721866667
2010-07-01,2010,7,1,-7.71867636806452
2010-08-01,2010,8,1,-4.30057071922581
2010-09-01,2010,9,1,-3.9042086
2010-10-01,2010,10,1,-0.452977330967742
2010-11-01,2010,11,1,1.983273448
2010-12-01,2010,12,1,4.33535630580645
2011-01-01,2011,1,1,6.43013153870968
2011-02-01,2011,2,1,6.75145431071429
